Player,Team,GP,MPG,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Year
Bryant Stith,DEN,46,26,0.7,1.7,2.3,1.8,0.6,0.3,1,1.4,7,1999
Derek Harper,LAL,45,24.9,0.3,1.2,1.5,4.2,1,0.1,1.2,1.5,6.9,1999
Chris Crawford,ATL,42,18.7,0.9,1.3,2.1,0.6,0.2,0.3,1.1,2.5,6.9,1999
Chris Childs,NYK,48,27,0.4,2.4,2.8,4,0.9,0,1.8,3.2,6.8,1999
Tony Delk,GSW,36,17.5,0.3,1.2,1.5,2.6,0.4,0.2,1.2,1.3,6.8,1999
Tony Battie,BOS,50,22.4,1.9,4.1,6,1.1,0.6,1.4,0.9,3.2,6.7,1999
Lorenzen Wright,LAC,48,23.6,3,4.6,7.5,0.7,0.5,0.8,1,3.4,6.6,1999
Bo Outlaw,ORL,31,27.5,1.7,3.6,5.4,1.8,1.3,1.4,1.9,2.5,6.5,1999
Dennis Scott,MIN,36,20.5,0.2,1.4,1.6,1.1,0.4,0.1,0.5,1.4,6.5,1999
Tracy Murray,WAS,36,18.1,0.5,1.8,2.2,0.8,0.6,0.2,0.8,1.8,6.5,1999
Jaren Jackson,SAS,47,18.3,0.4,1.7,2.1,1,0.9,0.2,0.8,1.3,6.4,1999
Greg Anthony,POR,50,16.1,0.3,1,1.3,2,1.3,0.1,1.1,1.5,6.4,1999
Brad Miller,CHA,38,12.3,0.9,2.2,3.1,0.6,0.2,0.5,0.8,1.7,6.3,1999
Michael Doleac,ORL,49,15.9,1.3,1.7,3,0.4,0.4,0.3,0.5,2.4,6.2,1999
Kornel David,CHI,50,18,1.4,2.1,3.5,0.8,0.5,0.3,1,1.8,6.2,1999
Chuck Person,CHA,50,19.8,0.3,2.3,2.6,1.2,0.4,0.2,0.8,1.8,6.1,1999
Johnny Newman,CLE,50,19,0.3,1.2,1.5,0.8,0.6,0.2,0.8,2.5,6.1,1999
Malik Rose,SAS,47,12.9,1.9,2,3.9,0.6,0.9,0.5,1.2,2.6,6,1999
Ben Wallace,WAS,46,26.8,3,5.4,8.3,0.4,1.1,2,0.8,2.4,6,1999
Derek Fisher,LAL,50,22.6,0.4,1.4,1.8,3.9,1.2,0,1.5,1.9,5.9,1999
James Robinson,MIN,31,16.3,0.6,1.4,2,1.8,0.7,0.3,1.4,1.9,5.9,1999
Samaki Walker,DAL,39,14.6,1.2,2.5,3.7,0.2,0.2,0.4,0.9,2.2,5.9,1999
Vinny Del Negro,MIL,48,22.8,0.3,1.8,2.1,3.6,0.7,0.1,1.1,1.3,5.9,1999
Johnny Taylor,DEN,36,20.1,0.8,2,2.8,0.7,0.8,0.5,0.9,2.7,5.8,1999
Greg Ostertag,UTA,48,27.9,2.2,5.1,7.2,0.5,0.2,2.7,0.9,2.9,5.7,1999
Chris Gatling,MIL,48,16.1,1.1,2.6,3.7,0.7,0.7,0.2,1.3,2.5,5.7,1999
Pat Garrity,PHX,39,13.8,0.7,1.3,1.9,0.5,0.2,0.1,0.5,1.6,5.6,1999
Cherokee Parks,VAN,48,23.3,1.6,3.5,5.1,0.8,0.6,0.6,1,2.4,5.5,1999
Dean Garrett,MIN,49,21.5,2,3.2,5.2,0.6,0.6,0.9,0.6,2.3,5.5,1999
Jud Buechler,DET,50,21.1,0.6,2.1,2.7,1.1,0.7,0.3,0.4,1.7,5.5,1999
Eric Washington,DEN,38,20,0.9,1.4,2.3,0.8,0.7,0.5,0.9,2.3,5.4,1999
Lucious Harris,NJN,36,16.7,0.6,1.3,1.9,0.9,0.5,0.2,0.5,1.4,5.4,1999
Chris Carr,NJN,39,11.4,0.6,1.2,1.8,0.6,0.2,0.1,0.7,1.2,5.3,1999
Robert Traylor,MIL,49,16,1.6,2.1,3.7,0.8,0.9,0.9,0.9,2.9,5.3,1999
Don Reid,DET,47,19.9,1.4,2.2,3.6,0.7,0.6,0.9,0.8,3.3,5.1,1999
Ervin Johnson,MIL,50,20.5,2.4,4,6.4,0.4,0.6,1.1,0.9,3,5.1,1999
Muggsy Bogues,GSW,36,19.8,0.4,1.6,2,3.7,1.2,0,1.3,1.2,5.1,1999
Derek Strong,ORL,44,15.8,1.5,2.2,3.7,0.4,0.3,0.2,0.8,1.5,5.1,1999
Eldridge Recasner,CHA,44,16.1,0.5,1.3,1.8,2.1,0.4,0,1.3,1.5,5,1999
Anthony Johnson,ATL,49,18.1,0.3,1.2,1.5,2.2,0.7,0.1,1.3,1.4,5,1999
Alvin Williams,TOR,50,21,0.4,1.3,1.6,2.6,1,0.2,1.1,1.9,5,1999
Sam Perkins,IND,48,16.4,0.8,2.1,2.9,0.5,0.3,0.3,0.5,1.5,5,1999
Jon Barry,SAC,43,17.1,0.6,1.7,2.2,2.6,1.2,0.1,1.1,1.4,5,1999
Robert Horry,LAL,38,19.6,1.5,2.5,4,1.5,0.9,1,1.3,2.7,4.9,1999
A.C. Green,DAL,50,18.5,1.6,2.9,4.6,0.5,0.6,0.2,0.4,1.4,4.9,1999
Michael Curry,MIL,50,22.9,0.4,1.8,2.2,1.6,0.8,0.1,0.7,2.7,4.9,1999
Ed Gray,ATL,30,11.2,0.2,0.7,0.9,0.4,0.4,0,1,1,4.9,1999
Greg Minor,BOS,44,17.4,0.7,2,2.7,1.1,0.5,0.1,0.9,1.6,4.9,1999
Aaron McKie,PHI,50,19.2,0.5,2.3,2.8,2,1.3,0.1,1.1,1.8,4.8,1999
Chris Whitney,WAS,39,11.3,0.2,1,1.2,1.8,0.5,0.1,0.9,1.3,4.8,1999
Michael Smith,VAN,48,22.9,2.8,4.5,7.3,1,1,0.4,1.2,2.2,4.8,1999
Roshown McLeod,ATL,34,10.2,0.4,1.1,1.5,0.4,0.1,0,0.7,0.7,4.8,1999
Rusty LaRue,CHI,43,17,0.2,1.1,1.3,1.5,0.8,0.1,0.8,1.5,4.7,1999
Antonio Daniels,SAS,47,13.1,0.3,0.9,1.1,2.3,0.6,0.1,0.9,0.8,4.7,1999
Ricky Davis,CHA,46,12.1,0.9,1,1.8,1.3,0.7,0.2,1.2,1,4.5,1999
DeJuan Wheat,VAN,46,12.8,0.2,0.7,1,2.2,0.6,0,1,1.3,4.5,1999
Steve Kerr,SAS,44,16.7,0.1,0.9,1,1.1,0.5,0.1,0.5,0.6,4.4,1999
Stacey Augmon,POR,48,18.2,1,1.6,2.6,1.2,1.2,0.4,0.6,1.7,4.3,1999
John Thomas,TOR,39,15.2,1.7,1.8,3.4,0.4,0.4,0.2,0.5,2.1,4.3,1999
Tom Hammonds,MIN,49,14.6,1.1,1.7,2.8,0.4,0.2,0.1,0.7,1.8,4.3,1999
Bob Sura,CLE,50,16.8,0.4,1.6,2,3,0.9,0.3,1.3,2,4.3,1999
Travis Knight,LAL,37,14.2,0.9,2.5,3.5,0.8,0.6,0.7,0.9,2.9,4.2,1999
Thurl Bailey,UTA,43,12.6,0.8,1.3,2.2,0.6,0.2,0.7,0.6,1.8,4.2,1999
Chris Morris,PHX,44,12.2,1.2,1.5,2.8,0.5,0.4,0.2,0.5,1.2,4.2,1999
Corry Carr,CHI,42,14.9,0.2,1,1.2,1.6,0.5,0.2,1.1,1.6,4.1,1999
Adam Keefe,UTA,44,14.6,1.2,2.1,3.2,0.6,0.4,0.3,0.8,1.4,4,1999
Aaron Williams,SEA,40,11.4,1.4,1.9,3.2,0.6,0.3,0.6,0.8,1.9,4,1999
Bill Wennington,CHI,38,11.9,0.5,1.6,2.1,0.5,0.3,0.3,0.4,2.1,3.8,1999
Jeff McInnis,WAS,35,12.2,0.3,0.3,0.6,2.1,0.5,0,0.9,1,3.7,1999
Pete Chilcutt,VAN,46,15.2,0.6,1.9,2.5,0.7,0.5,0.3,0.6,1.1,3.6,1999
Kelvin Cato,POR,43,12.7,1.1,2.3,3.5,0.4,0.5,1.3,0.6,2.3,3.5,1999
Bryce Drew,HOU,34,13,0.1,0.9,0.9,1.5,0.4,0.1,0.9,1.8,3.5,1999
Loy Vaught,DET,37,13,1,3,3.9,0.3,0.4,0.2,0.5,1.5,3.4,1999
Terry Davis,WAS,37,15.6,1.4,2.4,3.8,0.3,0.3,0.1,0.4,2.1,3.4,1999
Todd Fuller,UTA,42,11,0.7,1.7,2.4,0.1,0.1,0.3,0.6,1.4,3.4,1999
Chris Anstey,DAL,41,11.5,0.9,1.5,2.4,0.7,0.4,0.3,0.6,2.4,3.3,1999
Andrae Patterson,MIN,35,8.1,0.9,1,1.9,0.4,0.5,0.2,0.6,1.8,3.3,1999
Jerome Kersey,SAS,45,15.5,0.9,2,2.9,0.9,0.8,0.3,0.7,2,3.2,1999
Harvey Grant,PHI,47,17,0.8,1.6,2.3,0.5,0.4,0.3,0.4,1.6,3.1,1999
Keith Booth,CHI,39,11.1,0.6,1.7,2.4,1,0.6,0.3,1,1.5,3.1,1999
Rex Walters,MIA,33,15.3,0.3,1.2,1.5,1.8,0.3,0.1,1,1.9,3.1,1999
Adonal Foyle,GSW,44,14,1.8,2.6,4.4,0.4,0.3,1,0.7,2,2.9,1999
Matt Bullard,HOU,41,10.1,0.2,0.8,1,0.4,0.3,0.1,0.3,0.7,2.9,1999
Greg Foster,UTA,42,10.9,0.7,1.3,2,0.6,0.1,0.2,0.6,1.5,2.8,1999
Elliot Perry,NJN,35,8.3,0.2,0.8,1,1.3,0.6,0,1,0.7,2.8,1999
Sean Rooks,LAL,36,8.8,0.9,1.1,2,0.2,0.1,0.2,0.6,1.7,2.7,1999
Jermaine O'Neal,POR,35,8.9,1.2,1.6,2.8,0.4,0.1,0.4,0.4,1.2,2.6,1999
Chris Dudley,NYK,46,14.9,1.7,2.5,4.2,0.2,0.3,0.8,0.5,2.5,2.5,1999
Will Perdue,SAS,37,12,0.9,2.8,3.7,0.5,0.2,0.3,0.6,1.7,2.4,1999
Eric Riley,BOS,35,9.6,1,1.8,2.8,0.4,0.3,0.7,0.7,2.1,2.2,1999
Bill Curley,MIN,35,10.6,0.6,0.9,1.5,0.4,0.5,0.3,0.3,2.4,2.2,1999
Eric Montross,DET,46,12.5,1,2,3,0.3,0.3,0.6,0.3,2.3,2.1,1999
Keith Askins,MIA,33,12.6,0.3,1,1.3,0.3,0.5,0.1,0.4,1.8,1.6,1999
Michael Stewart,TOR,42,9.4,1,1.3,2.4,0.1,0.1,0.7,0.3,1.8,1.5,1999
Mark West,ATL,49,10.2,1,1.6,2.6,0.3,0.1,0.4,0.3,1.7,1.2,1999
Shaquille O'Neal,LAL,79,40,4.3,9.4,13.6,3.8,0.5,3,2.8,3.2,29.7,2000
Allen Iverson,PHI,70,40.8,1,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4,2000
Grant Hill,DET,74,37.5,1.3,5.3,6.6,5.2,1.4,0.6,3.2,2.6,25.8,2000
Vince Carter,TOR,82,38.1,1.8,4,5.8,3.9,1.3,1.1,2.2,3.2,25.7,2000
Karl Malone,UTA,82,35.9,2.1,7.4,9.5,3.7,1,0.9,2.8,2.8,25.5,2000
Chris Webber,SAC,75,38.4,2.5,8,10.5,4.6,1.6,1.7,2.9,3.5,24.5,2000
Gary Payton,SEA,82,41.8,1.2,5.2,6.5,8.9,1.9,0.2,2.7,2.2,24.2,2000
Jerry Stackhouse,DET,82,38.4,1.4,2.4,3.8,4.5,1.3,0.4,3.8,2.3,23.6,2000
Tim Duncan,SAS,74,38.9,3.5,8.9,12.4,3.2,0.9,2.2,3.3,2.8,23.2,2000
Kevin Garnett,MIN,81,40,2.8,9,11.8,5,1.5,1.6,3.3,2.5,22.9,2000
Michael Finley,DAL,82,42.2,1.5,4.8,6.3,5.3,1.3,0.4,2.4,2.1,22.6,2000
Kobe Bryant,LAL,66,38.2,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,2000
Stephon Marbury,NJN,74,38.9,0.8,2.4,3.2,8.4,1.5,0.2,3.6,2.6,22.2,2000
Ray Allen,MIL,82,37.4,1,3.4,4.4,3.8,1.3,0.2,2.2,2.3,22.1,2000
Alonzo Mourning,MIA,79,34.8,2.7,6.8,9.5,1.6,0.5,3.7,2.7,3.9,21.7,2000
Glenn Robinson,MIL,81,35.9,1.3,4.7,6,2.4,1,0.5,2.8,2.6,20.9,2000
Antoine Walker,BOS,82,36.6,2.4,5.5,8,3.7,1.4,0.4,3.2,3.2,20.5,2000
Shareef Abdur-Rahim,VAN,82,39.3,2.7,7.4,10.1,3.3,1.1,1.1,3,3,20.3,2000
Elton Brand,CHI,81,37,4.3,5.7,10,1.9,0.8,1.6,2.8,3.2,20.1,2000
Eddie Jones,CHA,72,39,1.1,3.6,4.8,4.2,2.7,0.7,2.2,2.4,20.1,2000
Allan Houston,NYK,82,38.6,0.5,2.8,3.3,2.7,0.8,0.2,2.3,2.7,19.7,2000
Paul Pierce,BOS,73,35.4,1.1,4.3,5.4,3,2.1,0.8,2.4,3.2,19.5,2000
J.R. Rider,ATL,60,34.7,1.1,3.2,4.3,3.6,0.7,0.1,2.8,2.2,19.3,2000
Keith Van Horn,NJN,80,34.8,2.5,6,8.4,2,0.8,0.8,3.1,3.2,19.2,2000
Antonio McDyess,DEN,81,33.3,2.9,5.6,8.5,2,0.9,1.7,2.8,3.9,19.1,2000
Sam Cassell,MIL,81,35.8,0.9,2.9,3.7,9,1.3,0.1,3.3,3.1,18.6,2000
Latrell Sprewell,NYK,82,40,0.6,3.7,4.3,4,1.3,0.3,2.8,2.2,18.6,2000
Cliff Robinson,PHX,80,35.5,1.3,3.2,4.5,2.8,1.1,0.8,2.1,3,18.5,2000
Michael Dickerson,VAN,82,37.8,1,2.5,3.4,2.5,1.4,0.5,2,2.8,18.2,2000
Jalen Rose,IND,80,37.2,0.5,4.3,4.8,4,1.1,0.6,2.4,2.9,18.2,2000
Reggie Miller,IND,81,36.9,0.6,2.3,3,2.3,1,0.3,1.6,1.6,18.1,2000
Steve Francis,HOU,77,36.1,2,3.3,5.3,6.6,1.5,0.4,4,3,18,2000
Shawn Kemp,CLE,82,30.3,2.8,6,8.8,1.7,1.2,1.2,3.5,4.5,17.8,2000
David Robinson,SAS,80,32,2.4,7.2,9.6,1.8,1.2,2.3,2,3.1,17.8,2000
Dirk Nowitzki,DAL,82,35.8,1.2,5.2,6.5,2.5,0.8,0.8,1.7,3.1,17.5,2000
Jamal Mashburn,MIA,76,37.2,0.8,4.2,5,3.9,1,0.2,2.4,2.8,17.5,2000
Mitch Richmond,WAS,74,32.4,0.5,2.4,2.9,2.5,1.5,0.2,2.1,2.6,17.4,2000
Mo Taylor,LAC,62,35.9,1.5,4.9,6.5,1.6,0.8,0.8,2.7,3.5,17.1,2000
Terrell Brandon,MIN,71,36.4,0.6,2.7,3.4,8.9,1.9,0.4,2.6,2.2,17.1,2000
Penny Hardaway,PHX,60,37.5,1.5,4.3,5.8,5.2,1.6,0.6,2.5,2.7,16.9,2000
Ron Mercer,ORL,68,35,0.9,2.7,3.7,2.3,1.1,0.3,2.2,2.2,16.9,2000
Derek Anderson,LAC,64,34.4,1.2,2.8,4,3.4,1.4,0.2,2.6,2.3,16.9,2000
Derrick Coleman,CHA,74,31.7,1.7,6.9,8.5,2.4,0.5,1.8,2.3,2.6,16.7,2000
Jim Jackson,ATL,79,35,1.3,3.7,5,2.9,0.7,0.1,2.3,2.1,16.7,2000
Cedric Ceballos,DAL,69,29.9,2.5,4.2,6.7,1.3,0.8,0.3,1.8,2.4,16.6,2000
Vin Baker,SEA,79,36.1,2.9,4.8,7.7,1.9,0.6,0.8,2.7,3.6,16.6,2000
Lamar Odom,LAC,76,36.4,2.1,5.7,7.8,4.2,1.2,1.2,3.4,3.8,16.6,2000
Rasheed Wallace,POR,81,35,1.6,5.4,7,1.8,1.1,1.3,1.9,2.7,16.4,2000
Darrell Armstrong,ORL,82,31.6,0.8,2.5,3.3,6.1,2.1,0.1,3,1.7,16.2,2000
Nick Van Exel,DEN,79,37.3,0.4,3.5,3.9,9,0.9,0.1,2.8,1.9,16.1,2000
Glen Rice,LAL,80,31.6,0.7,3.4,4.1,2.2,0.6,0.1,1.4,2.2,15.9,2000
Lamond Murray,CLE,74,32,1.7,4,5.7,1.8,1.4,0.5,2.5,2.8,15.9,2000
Cuttino Mobley,HOU,81,30.8,0.7,2.8,3.6,2.6,1.1,0.4,2.3,2.1,15.8,2000
Tracy McGrady,TOR,79,31.2,2.4,4,6.3,3.3,1.1,1.9,2,2.5,15.4,2000
Patrick Ewing,NYK,62,32.8,2.3,7.5,9.7,0.9,0.6,1.4,2.3,3.2,15,2000
Larry Hughes,GSW,82,28.3,1.4,2.9,4.3,2.5,1.4,0.3,2.4,2.3,15,2000
Steve Smith,POR,82,32.7,1.5,2.3,3.8,2.5,0.9,0.4,1.4,2.6,14.9,2000
Juwan Howard,WAS,82,35.5,1.6,4.1,5.7,3,0.8,0.3,2.7,3.6,14.9,2000
Toni Kukoc,PHI,56,31.9,1.3,3.5,4.9,4.7,1.4,0.5,2.6,2,14.8,2000
Mike Bibby,VAN,82,38.5,0.9,2.8,3.7,8.1,1.6,0.2,3,2.1,14.5,2000
Jason Kidd,PHX,67,39,1.4,5.8,7.2,10.1,2,0.4,3.4,2.2,14.3,2000
Donyell Marshall,GSW,64,32.4,3,7,10,2.6,1.1,1.1,1.9,2.8,14.2,2000
Bryon Russell,UTA,82,35.4,1.2,4,5.2,1.9,1.6,0.3,1.2,3.1,14.1,2000
Kenny Anderson,BOS,82,31.6,0.7,2.1,2.7,5.1,1.7,0.1,1.6,2.8,14,2000
Bob Sura,CLE,73,30.4,0.7,3.3,3.9,3.9,1.2,0.3,2,2.8,13.8,2000
Rodney Rogers,PHX,82,27.9,1.7,3.8,5.5,2.1,1.1,0.6,2,3.5,13.8,2000
David Wesley,CHA,82,33.7,0.5,2.3,2.7,5.6,1.3,0.1,1.9,2.3,13.6,2000
Tim Hardaway,MIA,52,32.2,0.5,2.4,2.9,7.4,0.9,0.1,2.3,2.2,13.4,2000
Tyrone Nesby,LAC,73,31.7,1.1,2.6,3.8,1.7,1,0.4,1.4,2.8,13.3,2000
Alan Henderson,ATL,82,33.8,3.2,3.7,7,0.9,1,0.7,1.7,2.8,13.2,2000
Othella Harrington,VAN,82,32.6,2.4,4.5,6.9,1.2,0.4,0.7,2.6,3.5,13.1,2000
Kendall Gill,NJN,76,31,1.1,2.6,3.7,2.8,1.8,0.5,1.2,2.8,13.1,2000
Kerry Kittles,NJN,62,30.6,0.7,2.9,3.6,2.3,1.3,0.3,0.9,1.9,13,2000
Rik Smits,IND,79,23.4,1.2,3.9,5.1,1.1,0.3,1.3,1.4,3.2,12.9,2000
Erick Strickland,DAL,68,29.8,1,3.7,4.8,3.1,1.5,0.2,1.5,2.8,12.8,2000
Lindsey Hunter,DET,82,35.6,0.4,2.6,3,4,1.6,0.3,1.8,2.6,12.7,2000
Elden Campbell,CHA,78,32.5,2.2,5.4,7.6,1.7,0.7,1.9,1.6,3.4,12.7,2000
Rod Strickland,WAS,69,31.7,1.1,2.7,3.8,7.5,1.4,0.3,2.7,2.1,12.6,2000
Damon Stoudamire,POR,78,30.4,0.8,2.3,3.1,5.2,1,0,1.9,2.2,12.5,2000
Scottie Pippen,POR,82,33.5,1.4,4.9,6.3,5,1.4,0.5,2.5,2.5,12.5,2000
Raef LaFrentz,DEN,81,30.1,2.1,5.8,7.9,1.2,0.5,2.2,1.2,3.6,12.4,2000
Jeff Hornacek,UTA,77,27.7,0.6,1.7,2.4,2.6,0.9,0.2,1.5,1.9,12.4,2000
Doug Christie,TOR,73,31,0.9,3,3.9,4.4,1.4,0.6,2,2.3,12.4,2000
Jason Williams,SAC,81,34.1,0.3,2.6,2.8,7.3,1.4,0.1,3.7,1.7,12.3,2000
Shandon Anderson,HOU,82,32.9,1.1,3.6,4.7,2.9,1.2,0.4,2.4,2.2,12.3,2000
Vlade Divac,SAC,82,29,2.1,5.9,8,3,1.3,1.3,2.3,3.1,12.3,2000
Christian Laettner,DET,82,29.8,2.1,4.6,6.7,2.3,1,0.5,2.3,4,12.2,2000
John Stockton,UTA,82,29.7,0.5,2.1,2.6,8.6,1.7,0.2,2.2,2.3,12.1,2000
Metta World Peace,CHI,72,31.1,0.9,3.4,4.3,2.8,1.7,0.5,2.3,2.2,12,2000
Jason Caffey,GSW,71,30.3,2.7,4.1,6.8,1.7,0.9,0.3,2.4,3.8,12,2000
Tyrone Hill,PHI,68,31.7,3.2,6,9.2,0.8,0.9,0.4,1.8,3.6,12,2000
Chris Gatling,DEN,85,21.3,1.8,4.1,5.9,0.8,1,0.3,2,2.9,11.9,2000
Theo Ratliff,PHI,57,31.5,2.5,5.2,7.6,0.6,0.6,3,1.9,3.2,11.9,2000
Peja Stojakovic,SAC,74,23.6,1,2.7,3.7,1.4,0.7,0.1,1.2,1.3,11.9,2000
Brent Barry,SEA,80,34.1,0.6,4,4.7,3.6,1.3,0.4,1.8,2.9,11.8,2000
Tim Thomas,MIL,80,26.2,1.2,2.9,4.2,1.4,0.7,0.4,1.6,2.8,11.8,2000
Arvydas Sabonis,POR,66,25.5,1.5,6.3,7.8,1.8,0.7,1.2,1.5,2.8,11.8,2000
Ruben Patterson,SEA,81,25.9,2.7,2.7,5.4,1.6,1.2,0.5,1.8,2.3,11.6,2000
Wally Szczerbiak,MIN,73,29.7,1.2,2.5,3.7,2.8,0.8,0.3,1.1,2.4,11.6,2000
Anthony Mason,CHA,82,38.2,1.8,6.8,8.5,4.5,0.9,0.4,2,2.7,11.6,2000
Antonio Davis,TOR,79,31.4,3,5.8,8.8,1.3,0.5,1.3,1.5,3.4,11.5,2000
Dikembe Mutombo,ATL,82,36.4,3.7,10.4,14.1,1.3,0.3,3.3,2.1,3,11.5,2000
Tariq Abdul-Wahad,DEN,61,25.9,1.7,3.1,4.8,1.6,1,0.5,1.7,2.4,11.4,2000
Malik Sealy,MIN,82,29.2,1.5,2.8,4.3,2.4,0.9,0.2,1.3,2.4,11.3,2000
Mookie Blaylock,GSW,73,33.5,0.8,2.9,3.7,6.7,2,0.3,2,1.7,11.3,2000
Avery Johnson,SAS,82,31.4,0.4,1.5,1.9,6,0.9,0.2,1.7,1.8,11.2,2000
Andre Miller,CLE,82,25.6,1,2.4,3.4,5.8,1,0.2,2,2.4,11.1,2000
Walt Williams,HOU,76,24.5,0.9,3.1,4,2.1,0.6,0.6,1.5,2.5,10.9,2000
Nick Anderson,SAC,72,29.1,1.2,3.6,4.7,1.7,1.3,0.2,1.3,1.6,10.8,2000
Larry Johnson,NYK,70,32.6,1.2,4.2,5.4,2.5,0.6,0.1,1.3,2.9,10.7,2000
John Amaechi,ORL,80,21.1,0.8,2.5,3.3,1.2,0.4,0.5,1.7,2,10.4,2000
Corliss Williamson,SAC,76,22.5,1.6,2.2,3.8,1.1,0.5,0.2,1.4,2.5,10.3,2000
Austin Croshere,IND,81,23.3,1.7,4.7,6.4,1.1,0.5,0.7,1.5,2.5,10.3,2000
Shawn Marion,PHX,51,24.7,2.1,4.5,6.5,1.4,0.7,1,1,2.2,10.2,2000
Marcus Camby,NYK,59,26.2,2.9,4.9,7.8,0.8,0.7,2,1.2,3.5,10.2,2000
Tracy Murray,WAS,80,22.9,0.8,2.6,3.4,0.9,0.6,0.3,1.1,2.3,10.2,2000
George McCloud,DEN,78,27.2,0.9,2.7,3.7,3.2,0.6,0.3,1.7,2.3,10.1,2000
Dale Davis,IND,74,28.7,3.5,6.4,9.9,0.9,0.7,1.3,1.2,2.7,10,2000
Johnny Newman,NJN,82,21.5,0.5,1.4,1.9,0.8,0.6,0.1,1.1,2.5,10,2000
Joe Smith,MIN,78,25.3,2.4,3.8,6.2,1.1,0.6,1.1,1.5,3.9,9.9,2000
Anthony Peeler,MIN,82,25.3,0.7,2.1,2.8,2.4,0.8,0.1,1,2.1,9.8,2000
Michael Olowokandi,LAC,80,31.2,2.4,5.8,8.2,0.5,0.4,1.8,2.2,3.8,9.8,2000
Matt Geiger,PHI,65,21.6,2.4,3.6,6,0.6,0.4,0.3,1.4,3,9.7,2000
George Lynch,PHI,75,32.2,2.9,4.9,7.8,1.8,1.6,0.5,1.6,3.1,9.6,2000
P.J. Brown,MIA,80,28.8,2.7,4.8,7.5,1.8,0.8,0.8,1.2,3.3,9.6,2000
Chucky Atkins,ORL,82,19.8,0.2,1.3,1.5,3.7,0.6,0,1.7,1.7,9.5,2000
Terry Porter,SAS,68,23.7,0.4,2.5,2.8,3.2,0.7,0.1,1.5,1.2,9.4,2000
Vonteego Cummings,GSW,75,24,0.8,1.7,2.5,3.3,1.2,0.2,1.8,2.3,9.4,2000
Brevin Knight,CLE,65,27,0.6,2.4,3,7,1.6,0.3,2.4,2.8,9.3,2000
Wesley Person,CLE,79,26,0.6,2.8,3.4,1.8,0.5,0.2,0.8,1.5,9.2,2000
Vitaly Potapenko,BOS,79,22.7,2.3,4,6.3,1,0.5,0.4,1.8,3,9.2,2000
Richard Hamilton,WAS,71,19.3,0.5,1.3,1.8,1.5,0.4,0.1,1.2,2,9,2000
Travis Best,IND,82,20.6,0.2,1.5,1.7,3.3,0.9,0.1,1.3,2.5,8.9,2000
Bryant Reeves,VAN,69,25.7,1.8,3.8,5.7,1.2,0.5,0.6,1.7,3.6,8.9,2000
Troy Hudson,LAC,62,25.7,0.5,1.9,2.4,3.9,0.7,0,1.7,1,8.8,2000
Bonzi Wells,POR,66,17.8,1.2,1.6,2.8,1.5,1,0.2,1.5,2.3,8.8,2000
Kelvin Cato,HOU,65,24.3,1.6,4.4,6,0.4,0.5,1.9,1.1,2.7,8.7,2000
Eric Piatkowski,LAC,75,22.8,1,2,3,1.1,0.6,0.2,0.8,1.9,8.7,2000
Monty Williams,ORL,75,20,1.3,2.1,3.3,1.4,0.6,0.2,1.5,2.5,8.7,2000
Howard Eisley,UTA,82,25.6,0.3,1.8,2.1,4.2,0.7,0.1,1.6,2.7,8.6,2000
Keon Clark,DEN,81,22.8,2,4.2,6.2,0.9,0.6,1.4,1.5,2.9,8.6,2000
Shawn Bradley,DAL,77,24.7,2.1,4.4,6.5,0.8,0.9,2.5,1,3.4,8.4,2000
Jerome Williams,DET,82,25.6,3.4,6.2,9.6,0.8,1.2,0.3,1.3,2.4,8.4,2000
LaPhonso Ellis,ATL,58,22.6,1.7,3.3,5,1,0.6,0.4,0.9,2.3,8.4,2000
Corey Maggette,ORL,77,17.8,1.6,2.3,3.9,0.8,0.3,0.3,1.8,2.2,8.4,2000
Kenny Thomas,HOU,72,25,2,4,6.1,1.6,0.8,0.3,1.6,2.3,8.2,2000
Pat Garrity,ORL,82,18,0.5,2,2.6,0.7,0.4,0.2,1,2.4,8.2,2000
Rashard Lewis,SEA,82,19.2,1.5,2.5,4.1,0.9,0.8,0.4,1,2,8.2,2000
James Posey,DEN,81,25.3,1,2.9,3.9,1.8,1.2,0.4,1.2,2.6,8.2,2000
Mark Jackson,IND,81,27,0.8,2.9,3.7,8,0.9,0.1,2.1,1.4,8.1,2000
Jason Terry,ATL,81,23.3,0.3,1.8,2,4.3,1.1,0.1,1.9,1.6,8.1,2000
Bimbo Coles,ATL,80,24.1,0.4,1.8,2.1,3.6,0.7,0.1,1.3,2.2,8.1,2000
Horace Grant,SEA,76,35.4,2.2,5.6,7.8,2.5,0.7,0.8,0.8,2.5,8.1,2000
Kurt Thomas,NYK,80,24.6,1.8,4.5,6.3,1,0.6,0.5,1.3,3.5,8,2000
Jon Barry,SAC,62,20.7,0.6,2,2.6,2.4,1.2,0.1,1.4,1.7,8,2000
Aaron McKie,PHI,82,23.8,0.6,2.4,3,2.9,1.3,0.2,1.4,2.4,8,2000
Eric Snow,PHI,82,35,0.5,2.7,3.2,7.6,1.7,0.1,2,3,7.9,2000
Hersey Hawkins,CHI,61,26.6,0.5,2.4,2.9,2.2,1.2,0.2,1.6,2.4,7.9,2000
