Player,Team,GP,MPG,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Year
Allan Bristow,UTA,82,28.1,2.1,4.2,6.2,4.2,1.1,0.1,2.2,2.6,11.6,1980
Steve Mix,PHI,81,19,1.4,2.2,3.6,1.8,0.8,0.1,1.6,1.4,11.6,1980
Rick Robey,BOS,82,23.4,2.5,3.9,6.5,1.1,0.6,0.2,1.8,3,11.5,1980
Bingo Smith,SDC,78,27.2,1.2,2.1,3.3,1.3,0.8,0.2,1,2.7,11.4,1980
Tom Boswell,UTA,79,26.3,1.8,3.7,5.6,2,0.4,0.5,2.3,3.4,11.4,1980
Bill Robinzine,KCK,81,23.7,2.3,4.2,6.5,0.8,1.3,0.3,1.8,3.8,11.4,1980
Mo Cheeks,PHI,79,33.2,0.9,2.5,3.5,7,2.3,0.4,2.7,2.5,11.4,1980
John Roche,DEN,82,27.9,0.3,1.1,1.4,4.9,1,0.1,1.9,1.7,11.4,1980
John Johnson,SEA,81,31.3,2,3.2,5.3,5.2,0.9,0.4,3,2.6,11.3,1980
Roger Phegley,NJN,78,19.4,1,1.4,2.4,1.3,0.4,0.1,1.5,2,11.3,1980
Lionel Hollins,PHI,47,25.7,0.6,1.3,1.9,3.4,1.6,0.2,2.7,2.2,11.2,1980
Chris Ford,BOS,73,29,1.1,1.4,2.5,2.9,1.5,0.4,1.4,2.4,11.2,1980
M.L. Carr,BOS,82,24.3,1.3,2.7,4,1.9,1.5,0.4,1.7,2.6,11.1,1980
Wayne Cooper,GSW,79,22.5,2.6,3.9,6.4,0.5,0.3,1,1.8,3.1,11,1980
Allen Leavell,HOU,77,27.6,0.7,1.6,2.4,5.4,1.6,0.4,2.7,2.6,10.9,1980
Kevin Restani,SAS,82,24,1.7,3,4.7,2.3,0.7,0.1,1.6,2.3,10.7,1980
Jim Chones,LAL,82,29.2,1.7,5.1,6.9,1.8,0.7,0.8,2.1,3.3,10.6,1980
Mark Olberding,SAS,75,28.1,1.1,4.5,5.6,4.4,0.9,0.3,2.4,3.7,10.6,1980
Eric Money,DET,61,25.4,0.5,1.2,1.7,4.2,0.9,0.2,2.5,2.4,10.3,1980
George Johnson,DEN,75,25.8,2.5,5.3,7.8,2.1,1.1,0.9,2,3.5,10.2,1980
Jo Jo White,GSW,78,26.3,0.5,1.8,2.3,3.1,1.1,0.2,2,2.4,9.9,1980
Spencer Haywood,LAL,76,20.3,1.7,2.8,4.6,1.2,0.5,0.8,1.8,2.6,9.7,1980
Wes Unseld,WAS,82,36.3,4.1,9.3,13.3,4.5,0.8,0.7,1.9,3,9.7,1980
Abdul Jeelani,POR,77,16.7,1.5,2,3.5,1.2,0.5,0.5,1.5,2,9.6,1980
Kent Benson,DET,73,25.9,1.7,4.5,6.2,2.4,1,1.3,2.2,3.4,9.6,1980
Foots Walker,CLE,76,31.9,1,2.8,3.8,8,2,0.2,2.1,2.7,9.4,1980
Joe Bryant,SDC,81,28.7,2.1,4.3,6.4,1.8,1.3,0.5,2.1,3.2,9.3,1980
Steve Hawes,ATL,82,22.6,1.8,4.2,6,1.8,0.9,0.4,1.5,2.5,9.3,1980
Sam Lacey,KCK,81,29.8,2.1,5.8,8,5.7,1.4,1.3,2.6,3.8,9.2,1980
Billy Paultz,HOU,84,26.1,2.2,4.8,7,2.2,0.8,1,1.4,2.5,9.1,1980
Henry Bibby,PHI,82,24.8,0.8,1.7,2.5,3.7,0.8,0.1,1.8,2,9,1980
Dwight Jones,CHI,74,19.6,1.5,3.4,5,1.4,0.4,0.6,1.6,2.8,8.9,1980
Ben Poquette,UTA,82,28.6,1.5,5.3,6.8,1.6,0.5,2,1.3,3.5,8.9,1980
Tree Rollins,ATL,82,25.9,3.5,6,9.4,0.9,0.7,3,1.2,3.9,8.9,1980
John Shumate,SAS,65,20.6,1.7,3.9,5.6,1.3,0.6,0.7,1.4,1.9,8.9,1980
Jim McElroy,ATL,67,22.8,0.5,1,1.5,3.4,0.7,0.3,2,1.8,8.9,1980
Michael Cooper,LAL,82,24.1,1.2,1.6,2.8,2.7,1,0.5,1.7,2.6,8.8,1980
Rich Kelley,PHX,80,23,2.5,3.9,6.4,2.2,1,1.2,2.5,3.4,8.8,1980
Mike Bratz,PHX,82,19.4,0.6,1.4,2,2.7,1.1,0.1,1.6,2,8.5,1980
Sidney Moncrief,MIL,77,20.2,2,2.4,4.4,1.7,0.9,0.2,1.5,1.4,8.5,1980
Dudley Bradley,IND,82,24.7,0.8,1.9,2.7,3.1,2.6,0.6,2,2.4,8.4,1980
Charlie Criss,ATL,81,22.1,0.3,1.1,1.4,3,0.9,0,1.6,1.6,8.3,1980
Reggie King,KCK,82,25,2.2,4.7,6.9,1.3,0.8,0.4,1.2,2.8,8.2,1980
Leon Douglas,DET,70,25.5,2.4,4.7,7.2,1.7,0.4,0.9,1.8,3.6,8.1,1980
Mark Landsberger,LAL,77,19.6,2.9,5,8,0.6,0.4,0.3,1.3,1.8,8,1980
Don Buse,PHX,81,30.9,0.9,2,2.9,4,1.6,0.1,1.1,1.4,7.7,1980
Ollie Johnson,CHI,79,19.4,0.6,1.4,2.1,2,0.7,0.3,1.2,2.1,7.7,1980
Phil Chenier,IND,43,19.8,0.4,1.4,1.8,2.1,0.8,0.3,1.3,1.3,7.6,1980
Caldwell Jones,PHI,80,34.6,2.7,9.1,11.9,2,0.5,2,2.7,3.7,7.3,1980
Larry Wright,WAS,76,16.9,0.5,1.1,1.6,2.9,0.6,0.2,1.4,1.9,7.3,1980
Kevin Porter,WAS,70,21.3,0.4,0.8,1.2,6.5,0.8,0.2,2.3,2.6,7.3,1980
George Johnson,NJN,81,26.2,2.4,5.1,7.4,2.1,0.7,3.2,2.5,3.9,7.2,1980
Sidney Wicks,SDC,71,30.2,1.9,3.8,5.8,3,1.1,0.7,2.4,3.4,7.1,1980
Joe Hassett,IND,74,15.3,0.5,0.8,1.3,1.4,0.6,0.1,0.6,1.1,7.1,1980
Larry Demic,NYK,82,22.8,2.4,3.5,5.9,0.8,0.7,0.4,2,3.7,7,1980
Coby Dietrick,CHI,79,23.2,1.3,3.3,4.6,2.7,1.1,0.6,1.4,2.9,6.9,1980
T.R. Dunn,POR,82,22.5,1.6,2.3,4,1.8,1.2,0.4,1.1,1.8,6.9,1980
Bill Willoughby,CLE,78,18.6,1.6,2.7,4.2,0.9,0.4,0.8,0.9,2.4,6.9,1980
Billy McKinney,KCK,76,17.5,0.3,0.9,1.1,3.3,0.8,0.1,1.2,1.1,6.8,1980
Jan Van Breda Kolff,NJN,82,29.3,1.3,4,5.2,3,1.2,0.9,1.9,3.7,6.8,1980
Pat Cummings,MIL,71,12.7,1.1,2.2,3.4,0.7,0.3,0.2,1,2,6.6,1980
Duck Williams,UTA,77,23.3,0.3,1.1,1.4,2.4,1.3,0.1,1.4,2.2,6.6,1980
Jim Cleamons,WAS,79,22.6,0.7,1.3,1.9,3.6,0.7,0.1,1.4,1.7,6.6,1980
Paul Griffin,SAS,82,22.1,1.9,3.5,5.3,3,1,0.6,1.6,3.7,6.3,1980
